,years_at_company,attrition_rate
0,0,0.35134271099744246
1,13,0.32151793160967473
2,16,0.32140978432404
3,6,0.3388338833883388
4,3,0.2957957957957958
5,12,0.31512120046171604
6,1,0.3440907108591365
7,2,0.3678214368751453
8,26,0.30344827586206896
9,20,0.28353413654618476
10,19,0.30168776371308015
11,9,0.32092719555990856
12,21,0.30357142857142855
13,7,0.33703271028037385
14,40,0.30303030303030304
15,28,0.28699551569506726
16,8,0.3284582571602681
17,23,0.2983479105928086
18,5,0.351797603195739
19,18,0.30332326283987915
20,15,0.3360537686029765
21,10,0.3284246575342466
22,4,0.30043916300697493
23,11,0.31341107871720114
24,22,0.3066914498141264
25,25,0.29291553133514986
26,27,0.2926829268292683
27,30,0.2698412698412698
28,14,0.3211963589076723
29,24,0.2891566265060241
30,29,0.29411764705882354
31,17,0.291451520367183
32,33,0.27439024390243905
33,35,0.34710743801652894
34,32,0.29493087557603687
35,31,0.2983050847457627
36,37,0.2804878048780488
37,38,0.23728813559322035
38,45,0.25
39,34,0.3192771084337349
40,41,0.34782608695652173
41,42,0.16666666666666666
42,44,0.45454545454545453
43,39,0.425531914893617
44,36,0.33663366336633666
45,43,0.2857142857142857
46,46,0.25
47,47,0.2
